num_user_created_objs,num_type,total_count_of_type
1,0,2
1,2,2
1,8,5659
1,10,2
1,18,3
1,26,2
1,32,3
1,33,2
1,34,3
1,35,3
1,37,2
1,40,1737
1,41,604
1,42,78
1,43,7
1,45,7
1,50,2
1,58,3
1,64,158
1,65,4
1,66,56
1,67,39
1,68,2
1,69,2
1,70,806
1,71,2
1,72,2
1,73,2
1,74,2
1,75,2
1,76,31
1,77,8
1,78,379
1,79,56
1,80,2
1,81,27
1,82,254
1,83,2
1,84,2
1,85,5
1,86,26
1,87,2
1,88,2
1,89,2
1,90,2
1,91,2
1,92,370
1,93,35
1,94,2
1,95,4
1,96,1469
1,97,41
1,98,4
1,99,2
1,100,2
1,101,3
1,102,2
1,103,118
1,104,84
1,105,2
1,106,2
1,107,2
1,108,2
1,109,2
1,110,2
1,111,2
1,112,2
1,113,2
1,114,2
1,115,2
1,116,2
1,117,561
1,118,2
1,119,11
1,120,3
1,121,166
1,122,5
1,123,21
1,124,13
1,125,3
1,126,3
1,127,3
1,128,27
1,129,46
1,130,369
1,131,4
1,132,522
1,133,254
1,134,3
1,135,2
1,136,2
1,137,20
1,138,1
1,139,1
1,140,1
1,141,607
1,142,1
1,143,2
1,144,2
1,145,1
1,146,2
1,147,3
1,148,2
1,149,2
1,150,2
1,151,2
1,152,2
1,153,42
1,154,1172
1,155,98
1,156,39
1,157,40
1,158,1573
1,159,9
1,160,2
1,161,933
1,162,3
1,163,248
1,164,22
1,165,556
1,166,449
1,167,2
1,168,2
1,169,3478
1,170,45
1,171,696
1,172,97
1,173,2462
1,174,2
1,175,2
1,176,2
1,179,22
1,180,2
1,181,5
1,182,2
1,183,2
1,184,1
1,1040,4
1,1041,10
1,1042,2
1,1043,1
1,1044,1
1,1045,1
1,1046,2
1,1048,2
1,1050,1
1,1051,43
1,1052,22
1,1053,13
1,1054,10
1,1055,1
1,1056,342
1,1057,2695
1,1059,5
1,1060,126
1,1061,27
1,1062,2
1,1063,1
1,1064,1
1,1065,1
1,1066,1
1,1067,1
1,1068,1
1,1069,10
1,1070,1
1,1071,1
1,1072,1
1,1073,4
1,1074,1
1,1075,1
1,1076,5
1,1077,49
1,1078,2
1,1079,1
1,1082,2
1,1084,1
1,1086,1
1,1087,2
1,1088,2
1,1089,2
1,1090,2
1,1091,63
1,1092,3320
2,0,2
2,2,2
2,8,6052
2,10,2
2,18,2
2,26,2
2,32,2
2,33,2
2,34,3
2,35,2
2,37,2
2,40,3126
2,41,855
2,42,83
2,43,37
2,45,2274
2,50,2
2,58,2
2,64,158
2,65,17
2,66,80
2,67,35
2,68,2
2,69,2
